fullName,owner,name,stars,inDeg,pagerank,daysSinceUpdate,latestToolchain,repoUrl,composite_rank
ctchou/AutomataTheory,ctchou,AutomataTheory,20,0,0.0008650948644855007,28,leanprover/lean4:v4.24.0-rc1,https://github.com/ctchou/AutomataTheory,156.66666666666666
chrisflav/proetale,chrisflav,proetale,8,0,0.0008650948644855007,16,leanprover/lean4:v4.30.0-rc2,https://github.com/chrisflav/proetale,157.33333333333334
NethermindEth/evmyul,NethermindEth,evmyul,70,0,0.0008650948644855007,47,leanprover/lean4:v4.22.0,https://github.com/NethermindEth/EVMYulLean,158.33333333333334
draperlaboratory/ELFSage,draperlaboratory,ELFSage,16,1,0.000987644326252699,29,leanprover/lean4:nightly-2024-10-07,https://github.com/draperlaboratory/ELFSage,159.33333333333334
dupuisf/BibtexQuery,dupuisf,BibtexQuery,11,55,0.004872120493296304,27,leanprover/lean4:v4.30.0-rc2,https://github.com/dupuisf/BibtexQuery,159.33333333333334
hargoniX/socket,hargoniX,socket,23,0,0.0008650948644855007,31,leanprover/lean4:v4.19.0,https://github.com/hargoniX/socket.lean,159.66666666666666
AxiomMath/FelConjecture,AxiomMath,FelConjecture,40,0,0.0008650948644855007,38,leanprover/lean4:v4.26.0,https://github.com/AxiomMath/fel-polynomial,159.66666666666666
lean-dojo/problems,lean-dojo,problems,47,0,0.0008650948644855007,42,leanprover/lean4:v4.26.0,https://github.com/lean-dojo/LeanMillenniumPrizeProblems,160.33333333333334
NethermindEth/plonky3-example,NethermindEth,plonky3-example,16,0,0.0008650948644855007,25,leanprover/lean4:v4.23.0-rc2,https://github.com/NethermindEth/CertiPlonk,160.33333333333334
jaalonso/Calculemus2,jaalonso,Calculemus2,9,0,0.0008650948644855007,17,leanprover/lean4:v4.30.0-rc2,https://github.com/jaalonso/Calculemus2,161.0
algebraic-dev/Http,algebraic-dev,Http,54,0,0.0008650948644855007,46,leanprover/lean4:v4.8.0,https://github.com/algebraic-dev/http,163.0
leanprover-cookbook/Cookbook,leanprover-cookbook,Cookbook,12,0,0.0008650948644855007,22,leanprover/lean4:v4.28.0,https://github.com/leanprover-cookbook/lean-metaprogramming-recipes,164.66666666666666
fplaunchpad/sal,fplaunchpad,sal,7,0,0.0008650948644855007,16,leanprover/lean4:v4.28.0,https://github.com/fplaunchpad/sal,165.0
objectionary/phi-calculus,objectionary,phi-calculus,7,0,0.0008650948644855007,16,leanprover/lean4:v4.15.0-rc1,https://github.com/objectionary/proof,165.0
ISTA-PLV/Coinductive,ISTA-PLV,Coinductive,7,0,0.0008650948644855007,16,leanprover/lean4:v4.29.0,https://github.com/ISTA-PLV/coinductive,165.0
marcusrossel/VerifiedCompiler,marcusrossel,VerifiedCompiler,32,0,0.0008650948644855007,38,leanprover/lean4:v4.29.0,https://github.com/marcusrossel/verified-compiler,165.33333333333334
